course_name,unique_identifier,comment
The Fort Golf Resort,5797-the-fort-golf-resort,This course was so much fun to play and the surroundings were absolutely beautiful. For it being November there was still a lot of green out there.
The Fort Golf Resort,5797-the-fort-golf-resort,Love the course. One of my favorites Only issue I have is that range was closed and I did not receive notification that it was.
The Fort Golf Resort,5797-the-fort-golf-resort,Great layout and course that feels like you are not playing golf in Indiana. Pace of play was slower than normal on a busy fall day.
The Fort Golf Resort,5797-the-fort-golf-resort,"Some of the greens were spikedIf not, it would have been a 5+Pete Dye didn’t disappointWe will be back"
The Fort Golf Resort,5797-the-fort-golf-resort,"We had a great time playing this course today before all leave fall, cousre and weather conditons are perfect!"
The Fort Golf Resort,5797-the-fort-golf-resort,I cut my teeth on this course back in the 80’s. It was tough then. Mr Dye has made it even tougher!In my opinion it’s my “Augusta.”
The Fort Golf Resort,5797-the-fort-golf-resort,"Come play it, keep it in the short grass!"
The Fort Golf Resort,5797-the-fort-golf-resort,Fantastic course with friendly staff in a close to Indy location.One of my favorites.
The Fort Golf Resort,5797-the-fort-golf-resort,Way too slow3 groups backed up from number 4Did not really open up much
The Fort Golf Resort,5797-the-fort-golf-resort,"Greens in good shape with a few edge bad spots. Tees and fairways excellent. Some bunkers were in only fair condition. Course was backed up with a bit of slow play. 5 hour round. Love the course. The staff was outstanding firm the pro shop, starter. And cart lady. I will try to make it back!"
The Fort Golf Resort,5797-the-fort-golf-resort,Wonderful experience. Very good golf course. Definitely coming back when I am in town.
The Fort Golf Resort,5797-the-fort-golf-resort,"With the exception of unrepaired divots on the greens, course was n great shape. Need everyone to repair their own divots!"
The Fort Golf Resort,5797-the-fort-golf-resort,"Great course, only complaint is sand traps we not groomed/raked. So every time I was in the bunker I would move my ball rake it then put ball back down for my shot."
The Fort Golf Resort,5797-the-fort-golf-resort,"Pace of play was great and we were able to get all 18 holes in beginning at 5:20. Course was in great condition and we had no wait time at all until the last 2 holes but it was not long. It was hot and the thermos's of water were all empty but 1. We should have brought more water with us, because there was not beverage cart out there either."
The Fort Golf Resort,5797-the-fort-golf-resort,"We got hooked up with 2 great golfers and they put up with us. We had great weather the fron 9, but then it got a bit windy and rainy on the back nine. We had a few brief showers and the downpour stayed away until the last hole!"
The Fort Golf Resort,5797-the-fort-golf-resort,"The course was beautiful but it was cart path only , which made a round of golf take alot longer , the 2 guys that worked in the golf shop could use some training on people skills, at least to minorities"
The Fort Golf Resort,5797-the-fort-golf-resort,"Wonderful afternoon. We had no wait times until we got to the back 9, then teams got a bit backed up. Course was in good shape, but alot of the bunkers were hard and not worked up."
The Fort Golf Resort,5797-the-fort-golf-resort,We had a wonderful day of golf and other than a couple short sprinkles we were able to get 18 holes in!
The Fort Golf Resort,5797-the-fort-golf-resort,"Always like playing the fort. Great shape, great layout, fun to play"
The Fort Golf Resort,5797-the-fort-golf-resort,"Bathrooms were locked, frustrating. Great course, BEAUTIFUL property"
The Fort Golf Resort,5797-the-fort-golf-resort,I would appreciate it if they let me know the course aeration before we book.
