course_name,unique_identifier
The Fort Golf Resort,5797-the-fort-golf-resort
Prairie View Golf Club,516-prairie-view-golf-club
Buffer Park Golf Course,28994-buffer-park-golf-course
Bear Slide Golf Club,5681-bear-slide-golf-club
Purgatory Golf Club,24894-purgatory-golf-club
Hickory Stick Golf Club,25452-hickory-stick-golf-club
The Trophy Club,5837-the-trophy-club
Valle Vista Country Club,542-valle-vista-country-club
Plum Creek Golf Club,5672-plum-creek-golf-club
The Legends Golf Club - Creek/Middle Course,537-the-legends-golf-club-creek-middle-course
South Grove Golf Course,552-south-grove-golf-course
Douglass Golf Course,548-douglass-golf-course
Coffin Golf Club,545-coffin-golf-club
Sarah Shank Golf Course,5811-sarah-shank-golf-course
Riverside Golf Course,551-riverside-golf-course
Woodstock Club,5814-woodstock-club
Brickyard Crossing,5813-brickyard-crossing
Thatcher Golf Course,546-thatcher-golf-course
Riverside Golf Academy,28992-riverside-golf-academy
Pleasant Run Golf Course,550-pleasant-run-golf-course
Highland Golf & Country Club,5805-highland-golf-country-club
Broadmoor Country Club,5803-broadmoor-country-club
Saddlebrook Golf Club,5798-saddlebrook-golf-club
Meridian Hills Golf Club,5809-meridian-hills-golf-club
Southern Dunes Golf Course,29713-southern-dunes-golf-course
Brendonwood Golf Course,29795-brendonwood-golf-course
The Country Club of Indianapolis,547-the-country-club-of-indianapolis
Hillcrest Country Club,5806-hillcrest-country-club
Southern Dunes Par-3 Golf Course,29712-southern-dunes-par-3-golf-course
Morningstar Golf Club,15050-morningstar-golf-club
Maple Creek Golf & Country Club,5808-maple-creek-golf-country-club
Winding River Golf Club,553-winding-river-golf-club
Smock Golf Course,5812-smock-golf-course
Whispering Hills Golf Course,544-whispering-hills-golf-course
Dakota Landing Golf Club,5802-dakota-landing-golf-club
Orchard Golf Center,5773-orchard-golf-center
Eagle Creek Golf Club - The Pines Course,543-eagle-creek-golf-club-the-pines-course
Eagle Creek Golf Club - The Sycamore Course,549-eagle-creek-golf-club-the-sycamore-course
Shortee's Golf Course,29714-shortee-s-golf-course
Asherwood Estate - Short Course,38518-asherwood-estate-short-course
Twin Lakes Golf Club,5674-twin-lakes-golf-club
Sahm Golf Course,554-sahm-golf-course
Asherwood Estate - Long Course,38517-asherwood-estate-long-course
Otte Golf Center,25453-otte-golf-center
Winding Ridge Golf Club,28993-winding-ridge-golf-club
The Links at Heartland Crossing,5670-the-links-at-heartland-crossing
Crooked Stick Golf Club,14961-crooked-stick-golf-club
Indian Lake Country Club,5807-indian-lake-country-club
Dyes Walk Golf Course,5774-dyes-walk-golf-course
Balmoral Golf Club,26041-balmoral-golf-club
